0.00260	-0.00962	364810.00000
0.04922	-0.00997	364989.00000
0.10104	-0.00936	365188.00000
0.15208	-0.00905	365384.00000
0.20365	-0.00957	365582.00000
0.25156	-0.00996	365766.00000
0.29974	-0.00972	365951.00000
0.35104	-0.00941	366148.00000
0.40104	-0.00920	366340.00000
0.45260	-0.00944	366538.00000
0.50313	-0.00954	366732.00000
0.55312	-0.00954	366924.00000
0.60313	-0.00987	367116.00000
0.65234	-0.01024	367305.00000
0.70234	-0.01034	367497.00000
0.75234	-0.01056	367689.00000
0.80104	-0.01018	367876.00000
0.85365	-0.00985	368078.00000
0.90417	-0.01003	368272.00000
0.95104	-0.01002	368452.00000
1.00208	-0.00977	368648.00000
1.05052	-0.01005	368834.00000
1.10260	-0.00985	369034.00000
1.15000	-0.01028	369216.00000
1.20234	-0.01024	369417.00000
1.25469	-0.01032	369618.00000
1.30130	-0.01063	369797.00000
1.35286	-0.01049	369995.00000
1.39922	-0.00978	370173.00000
1.45208	-0.01011	370376.00000
1.50417	-0.01077	370576.00000
1.55000	-0.01062	370752.00000
1.60260	-0.01034	370954.00000
1.65000	-0.01032	371136.00000
1.70104	-0.01029	371332.00000
1.75495	-0.01094	371539.00000
1.80078	-0.01108	371715.00000
1.85260	-0.01017	371914.00000
1.90182	-0.01098	372103.00000
1.94974	-0.01114	372287.00000
2.00443	-0.01086	372497.00000
2.05234	-0.01029	372681.00000
2.10000	-0.01160	372864.00000
2.15208	-0.01149	373064.00000
2.20078	-0.01133	373251.00000
2.24948	-0.01096	373438.00000
2.30417	-0.01093	373648.00000
2.35208	-0.01085	373832.00000
2.40208	-0.01165	374024.00000
2.45026	-0.01109	374209.00000
2.50026	-0.01205	374401.00000
2.54896	-0.01186	374588.00000
2.59948	-0.01160	374782.00000
2.65286	-0.01081	374987.00000
2.70000	-0.01110	375168.00000
2.75104	-0.01111	375364.00000
2.79766	-0.01122	375543.00000
2.84922	-0.01101	375741.00000
2.89870	-0.01087	375931.00000
2.95104	-0.01108	376132.00000
2.99844	-0.01082	376314.00000
3.04948	-0.01037	376510.00000
3.09948	-0.01102	376702.00000
3.15182	-0.01097	376903.00000
3.19974	-0.01163	377087.00000
3.24844	-0.01109	377274.00000
3.30026	-0.01143	377473.00000
3.34974	-0.01050	377663.00000
3.39974	-0.01087	377855.00000
3.44948	-0.01052	378046.00000
3.49948	-0.00945	378238.00000
3.54844	-0.01045	378426.00000
3.59974	-0.01035	378623.00000
3.64896	-0.01032	378812.00000
3.69974	-0.01072	379007.00000
3.74922	-0.01039	379197.00000
3.80130	-0.00970	379397.00000
3.85182	-0.01015	379591.00000
3.90052	-0.01053	379778.00000
3.95156	-0.00990	379974.00000
4.00026	-0.00976	380161.00000
4.05130	-0.01019	380357.00000
4.09948	-0.00984	380542.00000
4.15026	-0.01021	380737.00000
4.20104	-0.00984	380932.00000
4.25026	-0.00987	381121.00000
4.30000	-0.00992	381312.00000
4.35000	-0.01032	381504.00000
4.39792	-0.01078	381688.00000
4.45130	-0.01030	381893.00000
4.50026	-0.01034	382081.00000
4.55130	-0.00991	382277.00000
4.60130	-0.01019	382469.00000
4.65052	-0.01049	382658.00000
4.70130	-0.01011	382853.00000
4.75026	-0.00991	383041.00000
4.80130	-0.01015	383237.00000
4.85182	-0.01069	383431.00000
4.90078	-0.01081	383619.00000
4.95104	-0.01082	383812.00000
5.00130	-0.01001	384005.00000
5.05104	-0.01051	384196.00000
5.10052	-0.01091	384386.00000
5.15052	-0.01066	384578.00000
5.20104	-0.01028	384772.00000
5.25052	-0.01095	384962.00000
5.30078	-0.01031	385155.00000
5.35078	-0.01082	385347.00000
5.40078	-0.01143	385539.00000
5.45000	-0.01070	385728.00000
5.50104	-0.01034	385924.00000
5.55000	-0.01065	386112.00000
5.60052	-0.01036	386306.00000
5.65078	-0.01086	386499.00000
5.70052	-0.01118	386690.00000
5.75078	-0.01071	386883.00000
5.80052	-0.01072	387074.00000
5.85104	-0.01061	387268.00000
5.89974	-0.01030	387455.00000
5.95078	-0.01080	387651.00000
6.00000	-0.01088	387840.00000
6.05156	-0.01138	388038.00000
6.09948	-0.01093	388222.00000
6.15104	-0.01166	388420.00000
6.20078	-0.01105	388611.00000
6.25026	-0.01119	388801.00000
6.30078	-0.01121	388995.00000
6.35130	-0.01086	389189.00000
6.40026	-0.01061	389377.00000
6.45104	-0.01115	389572.00000
6.50026	-0.01114	389761.00000
6.55078	-0.01133	389955.00000
6.60078	-0.01141	390147.00000
6.64974	-0.01099	390335.00000
6.70078	-0.01134	390531.00000
6.74922	-0.01122	390717.00000
6.79688	-0.01081	390900.00000
6.85130	-0.01115	391109.00000
6.89922	-0.01121	391293.00000
6.95130	-0.01113	391493.00000
7.00130	-0.01103	391685.00000
7.05104	-0.01141	391876.00000
7.10052	-0.01142	392066.00000
7.15078	-0.01086	392259.00000
7.20000	-0.01103	392448.00000
7.24870	-0.01151	392635.00000
7.29896	-0.01164	392828.00000
7.35130	-0.01047	393029.00000
7.40182	-0.01135	393223.00000
7.44922	-0.01124	393405.00000
7.50182	-0.01177	393607.00000
7.55000	-0.01088	393792.00000
7.60078	-0.01084	393987.00000
7.65286	-0.01096	394187.00000
7.70313	-0.01098	394380.00000
7.75260	-0.01127	394570.00000
7.80312	-0.01118	394764.00000
7.85365	-0.01072	394958.00000
7.90391	-0.01118	395151.00000
7.95182	-0.01162	395335.00000
8.00286	-0.01158	395531.00000
8.05469	-0.01093	395730.00000
8.10469	-0.01081	395922.00000
8.15573	-0.01126	396118.00000
